TEIDESAT.Time,TEIDESAT.TTGregorian,TEIDESAT.Earth.Latitude,TEIDESAT.Earth.Longitude,TEIDESAT.Earth.Altitude,TEIDESAT.Propagator1_ForceModel.Acceleration,TEIDESAT.Propagator1_ForceModel.AccelerationX,TEIDESAT.Propagator1_ForceModel.AccelerationY,TEIDESAT.Propagator1_ForceModel.AccelerationZ
1143.24,26 Sep 2024 09:56:51.175,14.0045503859453,129.1491274903596,259.6176065362115,0.009061670540383471,-0.0020515711888753,0.008552601088406629,-0.002181271019845127
1143.33,26 Sep 2024 09:58:51.082,7.055172875911856,132.8074481923491,258.3025152889977,0.009064544296768047,-0.002725159341820642,0.008574497099472079,-0.001103389940548085
1143.42,26 Sep 2024 09:59:22.521,5.224919881607756,133.7414412211274,258.0432338353794,0.009065140935346369,-0.002893472003751113,0.008552109644364838,-0.000816100834433388
1143.52,26 Sep 2024 09:59:41.673,4.108975974662569,134.3072652332299,257.9035965682533,0.009065470682269089,-0.002994098909641018,0.00853275425489947,-0.0006404960857506114
1143.61,26 Sep 2024 10:00:01.232,2.968687198177264,134.8833037023249,257.775497302373,0.009065780695807711,-0.003095313671112127,0.008508529539850105,-0.0004608014446638234
1143.7,26 Sep 2024 10:00:23.904,1.646316646892135,135.5494219377596,257.645530966448,0.009066105865803484,-0.003210606102309832,0.008474826836554204,-0.0002521787385722215
1143.8,26 Sep 2024 10:01:23.641,-1.83882260013238,137.3018969551995,257.399348040617,0.009066784591259975,-0.003503311927422632,0.008357305225147778,0.0002980566006739161
1143.89,26 Sep 2024 10:03:23.114,-8.79787998923101,140.8454263927002,257.3259072431238,0.009067364024651862,-0.00403575485390173,0.007999568979235471,0.00139164264853195
1143.99,26 Sep 2024 10:05:22.359,-15.69653723924758,144.5354413615926,257.7870197719867,0.009066942828996694,-0.004488065043137604,0.007485715816484103,0.002455765287583599
1144.08,26 Sep 2024 10:07:21.973,-22.52573719584311,148.5281311883961,258.7244762314976,0.009065621224454706,-0.004853409285816588,0.006823400309743601,0.003474350975739767
1144.17,26 Sep 2024 10:09:21.963,-29.23112002265121,152.9951183902225,260.0464900778779,0.00906355743875944,-0.005123880775365614,0.00602483550181081,0.004426655218294097
1144.27,26 Sep 2024 10:11:21.669,-35.70413733287936,158.1292533343523,261.623842552639,0.009060975592013604,-0.005292828116781398,0.005110535962961519,0.005288636060134175
1144.36,26 Sep 2024 10:13:22.719,-41.92720981865904,164.3024513768933,263.3402513673655,0.009058081227424341,-0.005358200602583903,0.004085360494949636,0.006053788190165859
1144.45,26 Sep 2024 10:15:22.477,-47.61559079902307,171.7607307672323,265.0139748325237,0.009055191780786261,-0.005317652657669354,0.002991999164018765,0.006690815301718627
1144.55,26 Sep 2024 10:17:22.779,-52.63920797437695,-178.9345536507747,266.5327570926556,0.009052508212552652,-0.005172760823725664,0.001836241229329034,0.007198518496647376
1144.64,26 Sep 2024 10:19:22.560,-56.63937846836143,-167.4462785849092,267.7634946788858,0.009050268296174308,-0.004927939669770577,0.0006507855670413964,0.00756301824601593
1144.74,26 Sep 2024 10:21:22.952,-59.25495567531318,-153.6104773917759,268.6238154436169,0.009048620945492422,-0.004585798382014709,-0.0005525244322668918,0.007780919673564534
1144.83,26 Sep 2024 10:23:22.901,-60.09153855506656,-138.3261827759997,269.0457660519342,0.009047691974385647,-0.004155859786432297,-0.001740140185954267,0.007846111879912521
1144.92,26 Sep 2024 10:25:22.621,-59.02229895535847,-123.1820781004659,269.0121610083124,0.009047516379622349,-0.003646393605333686,-0.00289159567713065,0.007758868522827001
1145.02,26 Sep 2024 10:27:22.594,-56.22372934291653,-109.6533061529514,268.5403099496461,0.009048065887407836,-0.003065041125805608,-0.003989504265047236,0.007520430500919715
1145.11,26 Sep 2024 10:29:19.823,-52.18448927318182,-98.66465614068893,267.708251133623,0.009049212716928665,-0.002439112433927597,-0.004987897188617391,0.007145618445359784
1145.2,26 Sep 2024 10:29:41.730,-51.31752195899283,-96.85402909561623,267.5183450604773,0.009049482854372579,-0.002316712187349763,-0.00516477911817918,0.007060526979835758
1145.3,26 Sep 2024 10:30:03.648,-50.42022395969767,-95.11396986920901,267.3189811759903,0.009049768090119021,-0.002192724708877374,-0.005338411332738695,0.006970769346241646
1145.39,26 Sep 2024 10:31:17.141,-47.21865987943867,-89.76564651137583,266.5911101911161,0.009050817866186566,-0.001766918894773378,-0.005894730653531937,0.006636825460149281
1145.49,26 Sep 2024 10:33:13.513,-41.66200698026648,-82.61233669373367,265.3064955983355,0.009052676765107709,-0.001067034222585019,-0.006686187379549933,0.006008934423581319
1145.58,26 Sep 2024 10:35:13.914,-35.46061122294017,-76.52392626126854,263.9196334415528,0.009054655274035045,-0.0003218150035769548,-0.007375890112319824,0.005242085680916144
1145.67,26 Sep 2024 10:37:12.613,-29.03820847741654,-71.46426717222063,262.6286316643645,0.009056427861765705,0.0004197346464777987,-0.007913674959296931,0.004383657956605307
1145.77,26 Sep 2024 10:39:12.746,-22.32529779499556,-67.01243221008079,261.5315850377037,0.009057816093917512,0.001162451177290884,-0.008303060275224356,0.003428108766891357
1145.86,26 Sep 2024 10:41:09.957,-15.6370292079779,-63.11095693535535,260.7772368715196,0.009058591054476218,0.001865407728064421,-0.008524964997270847,0.002429670285372272
